"Date,Gold_Price,DXY_Index,Log_Gold,Log_DXY,Gold_Pct_Change,DXY_Pct_Change,ECT,Regime_Flag,Crisis_Name"
"1971-01-01,40.8,92.1,3.708,4.523,0.000,0.000,7.713,Normal,Normal"
"1971-02-01,41.2,91.8,3.718,4.520,0.009,-0.003,7.723,Normal,Normal"
"1971-03-01,41.5,91.6,3.727,4.519,0.007,-0.002,7.732,Normal,Normal"
"1971-04-01,41.7,91.4,3.730,4.518,0.005,-0.002,7.735,Normal,Normal"
"1971-05-01,42.0,91.3,3.738,4.517,0.007,-0.001,7.743,Normal,Normal"
"1971-06-01,42.3,91.2,3.745,4.517,0.007,-0.001,7.750,Normal,Normal"
"1971-07-01,42.6,91.0,3.749,4.515,0.007,-0.002,7.754,Normal,Normal"
"1971-08-01,42.9,90.9,3.757,4.514,0.007,-0.001,7.762,Normal,Normal"
"1971-09-01,43.1,90.7,3.761,4.512,0.005,-0.002,7.766,Normal,Normal"
"1971-10-01,43.4,90.5,3.768,4.511,0.007,-0.002,7.773,Normal,Normal"
"1971-11-01,43.7,90.3,3.775,4.509,0.007,-0.002,7.780,Normal,Normal"
"1971-12-01,44.0,90.2,3.784,4.508,0.007,-0.001,7.789,Normal,Normal"
"1972-01-01,44.3,90.0,3.787,4.506,0.007,-0.002,7.792,Normal,Normal"
"1972-02-01,44.5,89.8,3.792,4.504,0.005,-0.002,7.797,Normal,Normal"
"1972-03-01,44.8,89.6,3.798,4.503,0.007,-0.002,7.803,Normal,Normal"
"1972-04-01,45.0,89.5,3.802,4.502,0.004,-0.001,7.807,Normal,Normal"
"1972-05-01,45.3,89.3,3.808,4.500,0.007,-0.002,7.813,Normal,Normal"
"1972-06-01,45.6,89.1,3.812,4.498,0.007,-0.002,7.817,Normal,Normal"
"1972-07-01,45.9,89.0,3.819,4.497,0.007,-0.001,7.824,Normal,Normal"
"1972-08-01,46.2,88.8,3.825,4.495,0.007,-0.002,7.830,Normal,Normal"
"1972-09-01,46.5,88.6,3.829,4.493,0.007,-0.002,7.834,Normal,Normal"
"1972-10-01,46.8,88.5,3.836,4.492,0.007,-0.001,7.841,Normal,Normal"
"1972-11-01,47.0,88.3,3.842,4.490,0.004,-0.002,7.847,Normal,Normal"
"1972-12-01,47.3,88.1,3.848,4.488,0.006,-0.002,7.853,Normal,Normal"
"1973-01-01,47.6,87.9,3.853,4.486,0.006,-0.002,7.858,Normal,Normal"
"1973-02-01,47.9,87.8,3.860,4.485,0.006,-0.001,7.865,Normal,Normal"
"1973-03-01,48.2,87.6,3.864,4.483,0.006,-0.002,7.869,Normal,Normal"
"1973-04-01,48.5,87.4,3.871,4.481,0.006,-0.002,7.876,Normal,Normal"
"1973-05-01,48.8,87.2,3.875,4.479,0.006,-0.002,7.880,Normal,Normal"
"1973-06-01,49.1,87.0,3.881,4.477,0.006,-0.002,7.886,Normal,Normal"
"1973-07-01,49.4,86.9,3.888,4.476,0.006,-0.001,7.893,Normal,Normal"
"1973-08-01,49.7,86.7,3.894,4.474,0.006,-0.002,7.899,Normal,Normal"
"1973-09-01,50.0,86.5,3.912,4.472,0.006,-0.002,7.917,Normal,Normal"
"1973-10-01,50.3,86.3,3.918,4.470,0.006,-0.002,7.923,Normal,Normal"
"1973-11-01,50.6,86.1,3.922,4.468,0.006,-0.002,7.927,Normal,Normal"
"1973-12-01,50.9,86.0,3.930,4.467,0.006,-0.001,7.935,Normal,Normal"
"1974-01-01,51.2,85.8,3.936,4.465,0.006,-0.002,7.941,Normal,Normal"
"1974-02-01,51.5,85.6,3.942,4.463,0.006,-0.002,7.947,Normal,Normal"
"1974-03-01,51.8,85.5,3.948,4.462,0.006,-0.001,7.953,Normal,Normal"
"1974-04-01,52.1,85.3,3.955,4.460,0.006,-0.002,7.960,Normal,Normal"
"1974-05-01,52.4,85.1,3.961,4.458,0.006,-0.002,7.966,Normal,Normal"
"1974-06-01,52.7,84.9,3.967,4.456,0.006,-0.002,7.972,Normal,Normal"
"1974-07-01,53.0,84.8,3.974,4.455,0.006,-0.001,7.979,Normal,Normal"
"1974-08-01,53.3,84.6,3.980,4.453,0.006,-0.002,7.985,Normal,Normal"
"1974-09-01,53.6,84.4,3.987,4.451,0.006,-0.002,7.992,Normal,Normal"
"1974-10-01,53.9,84.2,3.993,4.449,0.006,-0.002,7.998,Normal,Normal"
"1974-11-01,54.2,84.0,3.998,4.447,0.006,-0.002,8.003,Normal,Normal"
"1974-12-01,54.5,83.9,4.005,4.446,0.006,-0.001,8.010,Normal,Normal"
"1975-01-01,54.8,83.7,4.010,4.444,0.006,-0.002,8.015,Normal,Normal"
"1975-02-01,55.1,83.5,4.017,4.442,0.006,-0.002,8.022,Normal,Normal"
